,player_id,position,sub_position,yellow_cards,red_cards,avg_minutes_played,n_games
321,358143,Defender,Centre-Back,36,3,80.29752066115702,121
322,4323,Defender,Centre-Back,35,0,82.51612903225806,93
323,9594,Defender,Centre-Back,35,0,78.4015748031496,127
324,24606,Defender,Centre-Back,35,0,82.87735849056604,106
325,33829,Defender,Centre-Back,35,2,88.08108108108108,259
326,38414,Defender,Centre-Back,35,2,74.17874396135265,207
327,48206,Defender,Left-Back,35,2,84.6890756302521,119
328,51274,Defender,Right-Back,35,2,87.05732484076434,157
329,56830,Defender,Centre-Back,35,0,77.64071856287426,167
330,57467,Defender,Centre-Back,35,1,88.31884057971014,207
331,57500,Defender,Right-Back,35,2,86.88588588588588,333
332,61592,Defender,Centre-Back,35,1,83.11111111111111,171
333,95963,Defender,Centre-Back,35,1,80.39,100
334,98113,Defender,Centre-Back,35,3,75.47413793103448,116
335,98131,Defender,Right-Back,35,3,76.92613636363636,176
336,102745,Defender,Centre-Back,35,2,81.20915032679738,153
337,112988,Defender,Right-Back,35,0,80.4,205
338,143852,Defender,Right-Back,35,0,80.71223021582733,139
339,156496,Defender,Left-Back,35,1,78.38953488372093,172
340,171068,Defender,Left-Back,35,2,81.54437869822485,169
341,186557,Defender,Centre-Back,35,1,88.1744966442953,149
342,187245,Defender,Left-Back,35,1,80.21686746987952,166
343,191217,Defender,Right-Back,35,1,83.00413223140495,242
344,206717,Defender,Left-Back,35,0,76.18,150
345,231572,Defender,Right-Back,35,0,76.59745762711864,236
346,239802,Defender,Right-Back,35,3,78.41201716738198,233
347,257376,Defender,Centre-Back,35,2,85.43333333333334,150
348,295755,Defender,Left-Back,35,1,73.90384615384616,156
349,422951,Defender,Centre-Back,35,0,86.38787878787879,165
350,457931,Defender,Centre-Back,35,1,75.144,125
351,3417,Defender,Centre-Back,34,0,88.71544715447155,123
352,27178,Defender,Centre-Back,34,2,88.3347280334728,239
353,33648,Defender,Left-Back,34,1,75.14782608695653,115
354,34289,Defender,Centre-Back,34,0,83.27374301675978,179
355,39094,Defender,Centre-Back,34,0,78.08461538461539,130
356,40611,Defender,Left-Back,34,2,87.64406779661017,236
357,56761,Defender,Left-Back,34,1,85.56626506024097,166
358,58961,Defender,Right-Back,34,0,83.10714285714286,140
359,59352,Defender,Centre-Back,34,0,87.97979797979798,198
360,69004,Defender,Centre-Back,34,1,84.61818181818182,110
361,71905,Defender,Right-Back,34,0,71.92307692307692,182
362,91479,Defender,Centre-Back,34,1,82.17829457364341,129
363,92572,Defender,Right-Back,34,0,86.76415094339623,212
364,99922,Defender,Centre-Back,34,0,79.40969162995594,227
365,111893,Defender,Centre-Back,34,2,84.02459016393442,122
366,112062,Defender,Right-Back,34,0,84.87628865979381,194
367,120443,Defender,Right-Back,34,0,82.36138613861387,202
368,122946,Defender,Centre-Back,34,1,86.36263736263736,182
369,130365,Defender,Right-Back,34,1,71.18076923076923,260
370,136834,Defender,Left-Back,34,0,84.06951871657753,187
371,163639,Defender,Centre-Back,34,1,76.50649350649351,154
372,234803,Defender,Left-Back,34,1,83.85433070866142,254
373,244262,Defender,Right-Back,34,0,80.45762711864407,177
374,282513,Defender,Right-Back,34,0,74.04629629629629,108
375,295630,Defender,Left-Back,34,1,81.35,140
376,325887,Defender,Centre-Back,34,0,85.67021276595744,94
377,413507,Defender,Centre-Back,34,1,87.78807947019868,151
378,470422,Defender,Centre-Back,34,1,82.43809523809524,105
379,17184,Defender,Centre-Back,33,1,84.944,125
380,19998,Defender,Centre-Back,33,2,87.5982905982906,117
381,33707,Defender,Centre-Back,33,0,78.68702290076335,131
382,37526,Defender,Centre-Back,33,0,85.85585585585585,111
383,37839,Defender,Left-Back,33,1,80.57522123893806,113
384,43763,Defender,Left-Back,33,0,82.16981132075472,212
385,54906,Defender,Right-Back,33,0,71.77314814814815,216
386,58252,Defender,Right-Back,33,2,87.53398058252426,103
387,60539,Defender,Right-Back,33,2,83.58673469387755,196
388,71701,Defender,Left-Back,33,2,70.99375,160
389,88490,Defender,Right-Back,33,0,65.02717391304348,184
390,117586,Defender,Left-Back,33,0,67.640625,192
391,118850,Defender,Centre-Back,33,4,83.92592592592592,162
392,124548,Defender,Right-Back,33,0,77.3391304347826,115
393,125020,Defender,Centre-Back,33,1,74.71078431372548,204
394,136184,Defender,Right-Back,33,3,85.98837209302326,172
395,143559,Defender,Centre-Back,33,1,85.54037267080746,161
396,169934,Defender,Centre-Back,33,0,85.63392857142857,112
397,170644,Defender,Left-Back,33,0,70.2875816993464,153
398,202788,Defender,Centre-Back,33,1,82.83225806451613,155
399,204069,Defender,Centre-Back,33,2,86.94491525423729,236
400,215118,Defender,Right-Back,33,0,72.79166666666667,168
401,223974,Defender,Centre-Back,33,0,81.85321100917432,109
402,229804,Defender,Centre-Back,33,2,78.0,180
403,255744,Defender,Centre-Back,33,1,80.96,150
404,284856,Defender,Centre-Back,33,1,86.44137931034483,145
405,338285,Defender,Centre-Back,33,0,82.84347826086956,115
406,5755,Defender,Centre-Back,32,0,87.93167701863354,161
407,20007,Defender,Right-Back,32,0,78.17721518987342,158
408,24977,Defender,Right-Back,32,1,60.075,120
409,25879,Defender,Centre-Back,32,0,81.1103448275862,145
410,45653,Defender,Centre-Back,32,1,82.87741935483871,155
411,56601,Defender,Centre-Back,32,0,82.34741784037558,213
412,58178,Defender,Centre-Back,32,3,83.26136363636364,176
413,59129,Defender,Left-Back,32,1,74.33043478260869,115
414,62913,Defender,Right-Back,32,0,77.07894736842105,76
415,77026,Defender,Centre-Back,32,1,87.91752577319588,97
416,92469,Defender,Left-Back,32,0,78.74698795180723,166
417,93740,Defender,Centre-Back,32,1,82.22527472527473,182
418,111227,Defender,Right-Back,32,0,67.01785714285714,112
419,124180,Defender,Centre-Back,32,0,85.075,120
420,126610,Defender,Left-Back,32,0,80.8361581920904,177
421,126719,Defender,Left-Back,32,1,76.41621621621621,185
